id;logo;logo_content_type;signature_and_stamp;signature_and_stamp_content_type;created_date;updated_date;template_id
1;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2021-01-18T17:37:58;2021-01-18T17:09:21;1
2;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2021-01-18T00:46:14;2021-01-18T19:19:56;2
3;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2021-01-18T00:44:21;2021-01-18T13:06:11;3
4;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2021-01-19T00:28:38;2021-01-18T18:28:57;4
5;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2021-01-18T06:10:21;2021-01-18T17:29:44;5
6;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2021-01-18T03:48:20;2021-01-18T18:13:40;6
7;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2021-01-18T01:16:37;2021-01-18T02:57:15;7
8;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2021-01-18T11:06:31;2021-01-18T11:45:43;8
9;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2021-01-18T09:24:13;2021-01-18T19:48:39;9
10;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2021-01-18T17:00:10;2021-01-18T07:35:13;10
