id;sequence;quantity;measure_unit;description;measure_unit_price
1;4878;19383;Shoes Manager Outdoors;Directives;81057
2;85662;67836;maximized Savings Account Quality;Sleek Soft Bacon;1425
3;54414;32454;Car Berkshire overriding;Principal;47627
4;63348;35773;synergies maroon;Handmade;95539
5;52164;96848;Home Loan Account;innovative Berkshire;68983
6;65468;38654;Florida Ethiopian Birr;Health;10413
7;74743;64243;value-added;Licensed;35328
8;51015;17106;Avon;markets;19144
9;99845;54126;multi-byte architect heuristic;compressing copying;80635
10;12483;33390;Investor;Borders AI;90932
