id;number;issue_date;payment_method;due_period;due_date;payment_date;tax_point;total_amount;currency;variable_symbol;constant_symbol;special_symbol;order_number;language;comment;before_invoice_items_text;invoice_footer_text;pdf_file;pdf_file_content_type;created_date;updated_date;company_id;customer_id
1;Texas Concrete;2021-01-18T17:24:44;BANK_TRANSFER;21030;2021-01-18T04:52:23;2021-01-18T06:30:43;2021-01-18T13:03:56;30348;haptic Licensed Soft Sausages;program Unbranded;SDR;Consultant;streamline reciprocal;SLOVAK;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2021-01-18T10:05:49;2021-01-18T09:58:15;1;1
2;access;2021-01-18T08:08:06;CASH_ON_DELIVERY;79274;2021-01-18T06:01:47;2021-01-18T01:00:49;2021-01-18T18:23:56;36763;experiences;Handcrafted Assistant;Money Market Account;program transmitting EXE;Director Gloves Jamaican Dollar;ENGLISH;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2021-01-18T23:54:31;2021-01-18T21:06:38;2;2
3;Tasty Plastic Mouse attitude-oriented Maine;2021-01-18T01:58:49;BANK_TRANSFER;44341;2021-01-18T16:14:22;2021-01-18T02:53:35;2021-01-18T23:51:49;32458;Analyst matrix;SDD auxiliary Utah;analyzer Chips;transmitting interactive reintermediate;auxiliary;ENGLISH;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2021-01-18T22:45:35;2021-01-18T22:49:25;3;3
4;Customer;2021-01-18T23:58:14;BANK_TRANSFER;2706;2021-01-18T10:32:53;2021-01-18T16:16:37;2021-01-18T01:22:18;5687;Granite end-to-end;index copying;pixel;Awesome Fresh Soap;e-markets Arizona Barbados Dollar;RUSSIAN;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2021-01-18T12:12:00;2021-01-18T03:46:20;4;4
5;Rhode Island;2021-01-18T01:51:52;CASH;50263;2021-01-18T19:43:06;2021-01-18T15:05:23;2021-01-18T13:48:00;85109;Credit Card Account;Assurance;COM Refined Cotton Bacon eyeballs;Toys payment;visionary;SLOVAK;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2021-01-18T23:14:32;2021-01-18T10:02:02;5;5
6;Handmade Cotton Chair matrix;2021-01-18T22:55:38;BANK_TRANSFER;94911;2021-01-18T01:56:29;2021-01-18T21:21:44;2021-01-18T11:53:25;14351;Pizza Data;Money Market Account Devolved;Internal Small Cotton Table;Rustic Fresh Bacon Mall;Soap transmit;POLISH;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2021-01-18T20:31:18;2021-01-18T12:12:36;6;6
7;core Utah;2021-01-18T06:48:57;CASH;10823;2021-01-18T08:42:00;2021-01-18T23:30:19;2021-01-18T21:35:11;14512;Jewelery;Investor silver;Brazilian Real;Court Centers Avon;Right-sized Cambridgeshire;RUSSIAN;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2021-01-18T05:28:03;2021-01-18T15:43:38;7;7
8;Awesome input;2021-01-18T12:14:32;BANK_TRANSFER;72098;2021-01-18T09:54:25;2021-01-18T19:05:19;2021-01-18T10:15:28;59108;Sausages;Specialist Small embrace;Jewelery matrix;Health;Baby deposit;CZECH;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2021-01-18T09:19:21;2021-01-18T12:45:21;8;8
9;Pants;2021-01-18T00:38:36;CASH_ON_DELIVERY;61001;2021-01-18T16:53:02;2021-01-18T03:47:31;2021-01-18T22:43:13;44155;protocol Lane Administrator;digital;Markets;Ranch;copying;GERMAN;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2021-01-18T02:04:04;2021-01-18T10:05:40;9;9
10;syndicate Home;2021-01-18T15:52:55;BANK_TRANSFER;27486;2021-01-18T16:29:47;2021-01-18T05:51:30;2021-01-18T23:33:35;25290;connecting;Direct;Proactive;copying Northern Mariana Islands;SCSI revolutionize;GERMAN;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2021-01-18T02:32:56;2021-01-18T12:52:15;10;10
